pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
KEGG_CELL_CYCLE	0.00203951561504143	0.00424107142857143	-0.492132452205735	-1.94984280138162	15	23	GADD45A MCM5 PCNA DBF4 CDC25B BUB1 CDKN2D TTK PLK1 CDKN2C CDC20 CCNB1 CCNA2 MAD2L1 CCNB2 CDK1 PTTG1
GO_ARTERY_DEVELOPMENT	0.113793590286602	0.170690385429903	0.315276552003371	1.35114973203952	805	27	LOXL1 LOX APOE ENG PDGFRB NOTCH3 HES1 PLXND1 HEY1 FOXC2 FOXC1 SMAD6 TBX2
GO_REGULATION_OF_HEART_CONTRACTION	0.000119431506031291	0.000318674314850223	-0.571526392604513	-2.98639054529601	0	65	MYH6 HCN4 SCN5A KCNA5 KCNJ2 CTNNA3 GJA5 CHRM2 TNNI3K KCNH2 HOPX ATP1B1 GJA1 DSP BVES CORIN PKP2 RNF207 RYR2 SNTA1 TRDN MYL2 MYH7 ATP2A2 DES NKX2-5 CASQ2 MYL3 SLC8A1 TNNI3 PLN HSPB7 CSRP3
GO_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	0.000123670541676973	0.000318674314850223	-0.686938503742133	-3.08496045813718	0	35	CDK1 TBX5 PROX1 MYLK3 MYOCD LRRC10 BVES FHOD3 NEXN MYL2 NKX2-5 FHL2 TCAP SORBS2 PDLIM5 SLC8A1 NEBL TTN ACTN2 CSRP3
GO_REGULATION_OF_HEART_RATE	0.000124223602484472	0.000318674314850223	-0.624898901022496	-2.74402805414138	0	32	MYH6 HCN4 SCN5A KCNA5 KCNJ2 CTNNA3 GJA5 TNNI3K KCNH2 GJA1 DSP BVES PKP2 RYR2 SNTA1 MYH7 ATP2A2 CASQ2 SLC8A1 PLN
GO_EMBRYONIC_HEART_TUBE_DEVELOPMENT	0.146014822519828	0.192765754729822	-0.368009265957812	-1.32908227191112	1122	17	GJA5 HAND1 GJA1 RYR2 NKX2-5
GO_HEART_DEVELOPMENT	0.000113908189998861	0.000318674314850223	-0.421358269234112	-2.53250082421328	0	126	GJA5 HAND1 ADAMTS6 IRX4 CDK1 ERBB4 TBX5 PROX1 HOPX GJA1 XIRP1 MYLK3 MYOCD PAM LRRC10 DSP BVES FHOD3 ANKRD1 RBM20 PKP2 RYR2 NEXN MYL2 SMYD1 MYH7 MYBPC3 NKX2-5 FHL2 TCAP SORBS2 FGF12 PDLIM5 MYL3 MB SLC8A1 NEBL TTN ACTN2 TNNI3 PLN CSRP3 TNNI1
GO_OUTFLOW_TRACT_MORPHOGENESIS	0.741190138117981	0.794132290840694	-0.210883500348344	-0.789419712913383	5741	19	DHRS3 PITX2 HEY2 VEGFA SOX11 GJA5 NKX2-5
GO_HEART_MORPHOGENESIS	0.00226190476190476	0.00424107142857143	-0.350142407993966	-1.84096113774097	18	67	GJA5 HAND1 TBX5 PROX1 GJA1 DSP ANKRD1 PKP2 RYR2 MYL2 MYH7 MYBPC3 NKX2-5 FHL2 TCAP MYL3 TTN TNNI3 TNNI1
GO_CARDIAC_CONDUCTION	0.000127469725940089	0.000318674314850223	-0.729623257593961	-2.8907881408021	0	23	HCN4 SCN5A KCNA5 KCNJ2 CTNNA3 GJA5 TNNI3K KCNH2 ATP1B1 GJA1 DSP PKP2 RNF207 RYR2 CASQ2 SLC8A1 PLN
GO_REGULATION_OF_HEART_GROWTH	0.00702576112412178	0.0117096018735363	-0.520216608882985	-1.84055959973171	53	16	HEY2 CCNB1 MYH6 CDK1 ERBB4 TBX5 PROX1 AKAP6 GJA1 NKX2-5
GO_ARTERY_MORPHOGENESIS	0.455181093553349	0.525208954100018	0.24860943999808	0.998346936805477	3254	22	APOE ENG PDGFRB NOTCH3 HES1 HEY1 FOXC2 FOXC1 TBX2 PRRX1
GO_AORTA_DEVELOPMENT	0.154212603783857	0.192765754729822	0.370963427201547	1.30776472960835	1132	15	LOXL1 LOX PDGFRB HES1 PLXND1 HEY1 SMAD6 TBX2
GO_HEART_VALVE_DEVELOPMENT	0.864543466375068	0.864543466375068	0.190406684092088	0.686293678398749	6324	16	CYR61 SOX9 HEYL HEY1 SMAD6
GO_HEART_PROCESS	0.000124223602484472	0.000318674314850223	-0.771876633088744	-3.38943008551628	0	32	MYH6 SCN5A KCNA5 KCNJ2 GJA5 KCNH2 ATP1B1 GJA1 PKP2 RYR2 SNTA1 TRDN MYL2 MYH7 MYBPC3 NKX2-5 CASQ2 TCAP FGF12 MYL3 SLC8A1 TTN TNNI3 PLN CSRP3 TNNI1
