pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
KEGG_CELL_CYCLE	0.00114220445459737	0.00285551113649343	-0.484182053648948	-2.13541629550709	5	23	CDKN2D DBF4 TTK PLK1 BUB1 CDC25B CDKN2C CDK1 CDC20 CCNA2 MAD2L1 CCNB1 GADD45A CCNB2 PTTG1
GO_ARTERY_DEVELOPMENT	0.00579857578840285	0.0108723296032553	0.446690758401621	1.8400295786784	56	27	ENG APOE PDGFRB LOXL1 MYLK HES1 FOXC2 LOX FOXC1 NOTCH3 JAG1 DLL4 GJA5 TBX2 PLXND1 HEY1 SMAD6 PTGER4
GO_REGULATION_OF_HEART_CONTRACTION	0.000229147571035747	0.00103533959138597	-0.411153522315062	-2.43729301432384	0	65	BVES CXADR DSP KCNJ2 CTNNA3 DES NKX2-5 IRX5 SNTA1 PKP2 CSRP3 HEY2 ATP1B1 HOPX PLN GJA1 SLC8A1 HSPB7 TNNI3 MYH7 MYL3 MYL2
GO_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	0.000202634245187437	0.00103533959138597	-0.570738832163379	-2.86097555632783	0	35	CDK1 BVES CXADR FHOD3 CCNB1 TCAP PITX2 NKX2-5 NEXN NEBL LRRC10 CSRP3 PDLIM5 ACTN2 HEY2 TTN SLC8A1 SORBS2 FHL2 MYL2
GO_REGULATION_OF_HEART_RATE	0.00539892021595681	0.0108723296032553	-0.375684619487673	-1.83760032723751	26	32	BVES DSP KCNJ2 CTNNA3 IRX5 SNTA1 PKP2 HEY2 PLN GJA1 SLC8A1 MYH7
GO_EMBRYONIC_HEART_TUBE_DEVELOPMENT	0.114207592806815	0.131777991700171	0.386867115494764	1.37980653771868	1085	17	ENG SOX18 HES1 FOXC2 FOXC1 GJA5 SOX17 MEF2C BMP2 TBX2 HHEX
GO_HEART_DEVELOPMENT	0.000276090557702927	0.00103533959138597	-0.297501383770322	-2.05080413580538	0	126	BVES CXADR FHOD3 COL11A1 CCNB1 DSP MYBPC3 TCAP PITX2 NKX2-5 NEXN FGF12 XIRP1 PKP2 HAND1 SMYD1 NEBL LRRC10 CSRP3 PDLIM5 ACTN2 HEY2 IRX4 HOPX TTN PLN GJA1 SLC8A1 SORBS2 TNNI3 TNNI1 FHL2 MYH7 MYL3 MYL2
GO_OUTFLOW_TRACT_MORPHOGENESIS	0.361331385642738	0.361331385642738	0.293446005006569	1.08254400882327	3462	19	SOX18 HEYL HES1 JAG1 CLDN5 GJA5 SOX17 MEF2C TBX2 PLXND1
GO_HEART_MORPHOGENESIS	0.00715935334872979	0.0119322555812163	-0.282927937403225	-1.68906914457263	30	67	COL11A1 DSP MYBPC3 TCAP PITX2 NKX2-5 PKP2 HAND1 HEY2 TTN GJA1 TNNI3 TNNI1 FHL2 MYH7 MYL3 MYL2
GO_CARDIAC_CONDUCTION	0.000951837045497811	0.00285551113649343	-0.492939412022355	-2.17403938290828	4	23	RYR2 CASQ2 ATP1A2 RNF207 CXADR DSP KCNJ2 CTNNA3 PKP2 ATP1B1 PLN GJA1 SLC8A1
GO_REGULATION_OF_HEART_GROWTH	0.247306034482759	0.264970751231527	-0.302899952570939	-1.17836640383213	1376	16	CDK1 AKAP6 CCNB1 NKX2-5 HEY2 GJA1
GO_ARTERY_MORPHOGENESIS	0.0145616028090468	0.0218424042135702	0.438920595306674	1.69694038169991	140	22	ENG APOE PDGFRB MYLK HES1 FOXC2 FOXC1 NOTCH3 JAG1 DLL4 GJA5
GO_AORTA_DEVELOPMENT	0.0425079702444208	0.0579654139696648	0.456028435471941	1.55888068399996	399	15	PDGFRB LOXL1 MYLK HES1 LOX JAG1 DLL4 TBX2 PLXND1 HEY1 SMAD6
GO_HEART_VALVE_DEVELOPMENT	0.0490778036887853	0.0613472546109816	0.438527560370023	1.53242930586008	462	16	TBX5 SOX9 CYR61 HEYL JAG1 ERG GJA5 MEF2C SHOX2 BMP2 HEY1 SMAD6
GO_HEART_PROCESS	0.0001999600079984	0.00103533959138597	-0.651935578287912	-3.18883704537431	0	32	MYBPC3 TCAP KCNJ2 NKX2-5 SNTA1 FGF12 PKP2 CSRP3 ATP1B1 TTN PLN GJA1 SLC8A1 TNNI3 TNNI1 MYH7 MYL3 MYL2
