pathway	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
KEGG_CELL_CYCLE	0.000106022052586938	0.000441329179646937	-0.640651381787626	-2.59136825645075	0	27	CCND1 MCM4 MCM3 E2F1 MCM5 CDC25B CDKN2D BUB1 MCM7 PTTG1 CCNB2 PLK1 ORC6 PCNA CDC20 CDKN2C CCNB1 CCNA2 MAD2L1 CDK1
GO_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	0.0162642521797451	0.0276492287055667	0.47252258323279	1.77022155138925	96	16	PKP2 CTNNA3 CACNB2 DSP KCNJ2 KCNH2 JUP CACNA1C KCNQ1
GO_ARTERY_DEVELOPMENT	0.317910603998744	0.386034304855617	-0.263181257086639	-1.11081081571643	3036	31	TBX2 FOXC2 PLXND1 BMP4 PRDM1 LOXL1 HEY1 ENG HES1 APOE PDGFRB LOX NOTCH3 JAG1 GJA5
GO_REGULATION_OF_HEART_CONTRACTION	0.000207684319833853	0.000441329179646937	0.496766167263494	2.95809685661392	0	80	MYH7 MYL2 MYL3 SLC8A1 HSPB7 TNNI3 TNNT2 GJA1 ATP1B1 PLN PKP2 HOPX CSRP3 MYL4 DES MEF2A HEY2 SNTA1 CASQ2 NKX2-5 CTNNA3 RYR2 CXADR CACNB2 ATP1A3 DSP BVES KCNJ2 RNF207 IRX5 CAV3 TNNI3K CASQ1 KCNH2 ATP1A2 JUP CACNA1C TRDN
GO_CARDIAC_MUSCLE_CELL_DIFFERENTIATION	0.000187020759304283	0.000441329179646937	0.565366582690633	2.82482240886127	0	40	MYL2 FHL2 SLC8A1 SORBS2 TTN ACTN2 ACTC1 LRRC10 PDLIM5 CSRP3 NEBL MEF2A HEY2 TCAP NEXN NKX2-5 FHOD3 CXADR BVES VEGFA
GO_REGULATION_OF_HEART_RATE	0.000186567164179104	0.000441329179646937	0.503609167287731	2.47905715541608	0	38	MYH7 SLC8A1 GJA1 PLN PKP2 HEY2 SNTA1 CASQ2 CTNNA3 RYR2 CACNB2 DSP BVES KCNJ2 IRX5 CAV3 TNNI3K KCNH2 JUP CACNA1C KCNQ1
GO_EMBRYONIC_HEART_TUBE_DEVELOPMENT	0.0718194254445965	0.101744186046512	0.369672955666267	1.46423969418135	419	19	GJA1 NKX2-5 HAND1 RYR2 NDRG4 CTNNB1 SOX17 TBX3 HAND2
GO_HEART_DEVELOPMENT	0.000242541838467136	0.000458134583771256	0.372726256087633	2.51902912026825	0	148	MYH7 MYL2 MYL3 FHL2 SLC8A1 SORBS2 TNNI3 TNNI1 TNNC1 TTN MYBPC3 TNNT2 SMYD1 ACTN2 GJA1 ACTC1 LRRC10 PDLIM5 PLN FZD1 PKP2 HOPX CSRP3 NEBL IRX4 MEF2A HEY2 TCAP NEXN CRIP1 NKX2-5 MB HAND1 XIRP1 FHOD3 RBM20 TDGF1 RYR2 CXADR DSP BVES FGF12 NDRG4
GO_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION	0.000167196121049992	0.000441329179646937	0.676502912104691	2.47006543373666	0	15	MYH7 MYL2 MYL3 SLC8A1 PLN CSRP3 MYL4 RYR2
GO_OUTFLOW_TRACT_MORPHOGENESIS	0.404534183492738	0.429817569961034	0.242679589255163	1.03487253402975	2283	24	FZD1 HEY2 NKX2-5 VEGFA SOX17 DHRS3 TBX3 HAND2 MSX2
GO_HEART_MORPHOGENESIS	0.000205423171733772	0.000441329179646937	0.390690236366156	2.28574177321537	0	74	MYH7 MYL2 MYL3 FHL2 TNNI3 TNNI1 TNNC1 TTN MYBPC3 TNNT2 GJA1 ACTC1 FZD1 PKP2 HEY2 TCAP NKX2-5 HAND1 RYR2 DSP NDRG4 VEGFA
GO_CARDIAC_CONDUCTION	0.000184808722971724	0.000441329179646937	0.56270859916107	2.67638890010591	0	34	SLC8A1 GJA1 ATP1B1 PLN PKP2 MEF2A CASQ2 CTNNA3 RYR2 CXADR CACNB2 ATP1A3 DSP KCNJ2 RNF207 TNNI3K KCNH2 ATP1A2 JUP CACNA1C KCNQ1
GO_REGULATION_OF_HEART_GROWTH	0.578146374829001	0.578146374829001	0.227549081855621	0.901300441161603	3380	19	GJA1 HEY2 NKX2-5 AKAP6 CAV3 ACACB PROX1 NRG1 FGF9 ERBB4
GO_ARTERY_MORPHOGENESIS	0.30312099187687	0.386034304855617	-0.288006658177381	-1.12307273078266	2835	24	BMP4 PRDM1 HEY1 ENG HES1 APOE PDGFRB NOTCH3 JAG1 GJA5
GO_AORTA_DEVELOPMENT	0.364350520026555	0.412930589363428	-0.314483760881362	-1.07849454577968	3292	16	PRDM1 LOXL1 HEY1 HES1 PDGFRB LOX JAG1
GO_HEART_VALVE_DEVELOPMENT	0.041048904624917	0.0634392162385081	-0.455855911604434	-1.56331796894363	370	16	CYR61 HEYL PRDM1 SHOX2 HEY1 TBX5 JAG1 GJA5
GO_HEART_PROCESS	0.000191938579654511	0.000441329179646937	0.650657258925174	3.35476820359513	0	45	MYH7 MYL2 MYL3 SLC8A1 TNNI3 TNNI1 TNNC1 TTN MYBPC3 TNNT2 GJA1 ACTC1 ATP1B1 PLN PKP2 CSRP3 MYL4 TCAP SNTA1 CASQ2 NKX2-5 RYR2 CACNB2 ATP1A3 FGF12 KCNJ2
