cluster_number	gene	z_score
0	MYL3	37.41022491455078
0	MYL2	37.30518341064453
0	MYH7	36.061641693115234
0	COX6A2	31.35080337524414
0	BANCR	26.714088439941406
0	FABP3	26.660558700561523
0	FHL2	26.0164794921875
0	SLC8A1	25.515151977539062
0	PLN	25.48456382751465
0	FGF12	25.42987823486328
0	TNNI3	24.27971839904785
0	SLC25A4	23.30895233154297
0	NAV1	22.848859786987305
0	HSPB3	22.205659866333008
0	TNNI1	21.890708923339844
0	NREP	21.578886032104492
0	CRYAB	21.545114517211914
0	LBH	21.158601760864258
0	CKMT2	20.837589263916016
0	GJA1	20.6604061126709
0	FGF18	19.814083099365234
0	CKM	19.281450271606445
0	HEY2	18.627887725830078
0	ACTN2	18.447093963623047
0	LGALS3	18.42361831665039
0	SLC27A6	17.10319709777832
0	SMYD1	17.08991050720215
0	RBP7	17.04943084716797
0	TTN	17.034292221069336
0	S100A4	16.90962791442871
0	HSPB7	16.517900466918945
0	CSRP3	16.515079498291016
0	SH3RF2	16.453598022460938
0	SORBS2	16.44776725769043
0	PAIP2B	16.400779724121094
0	MYOM1	15.903115272521973
0	PFKP	15.9006929397583
0	BNIP3	15.642741203308105
0	NEBL	15.526065826416016
0	LPL	15.484230041503906
0	CNOT11	15.294742584228516
0	FAM162A	15.199289321899414
0	LMOD3	14.870293617248535
0	PDLIM5	14.802136421203613
0	POPDC2	14.78936767578125
0	MYOZ2	14.655701637268066
0	PPP1R12B	14.62244987487793
0	HOPX	14.483803749084473
0	SH3BGR	14.340782165527344
0	PCDH7	14.270074844360352
0	RP11-532N4.2	14.1891508102417
0	HSPB1	14.02070426940918
0	PHACTR1	13.953939437866211
0	MASP1	13.936502456665039
0	EEF1A2	13.697011947631836
0	CASQ2	13.592663764953613
0	NEXN	13.58012866973877
0	PLCXD3	13.563619613647461
0	APOBEC2	13.404748916625977
0	HACD1	13.383817672729492
0	LDB3	13.253056526184082
0	MTUS2	13.232027053833008
0	DES	13.0227689743042
0	FAM134B	12.94837474822998
0	MYH7B	12.518148422241211
0	CPT1B	12.432005882263184
0	COBL	12.428523063659668
0	PNCK	12.389142990112305
0	MYBPC3	12.20932674407959
0	FAM129A	12.15726375579834
0	RYR2	12.15651798248291
0	ATP1B1	11.990687370300293
0	PERP	11.804356575012207
0	RAMP1	11.743069648742676
0	BCAM	11.712210655212402
0	ENO3	11.370619773864746
0	MYZAP	10.917215347290039
0	UNC45B	10.841785430908203
0	FITM1	10.822338104248047
0	SMPX	10.770615577697754
0	TMOD1	10.749503135681152
0	TCAP	10.700671195983887
0	CTNNA3	10.669219017028809
0	GPRIN3	10.628555297851562
0	PKP2	10.563857078552246
0	LRRC10	10.336284637451172
0	RRAD	10.336104393005371
0	ALDOC	10.146489143371582
0	TRIM63	10.124168395996094
0	STRIP2	10.021768569946289
0	PDK1	9.998359680175781
0	PGAM2	9.891237258911133
0	FRMD3	9.878427505493164
0	SIPA1L1	9.8612699508667
0	GLUL	9.843616485595703
0	CPVL	9.799601554870605
0	PDK4	9.74435043334961
0	GOT1	9.716570854187012
0	ASB2	9.63377857208252
0	PPP1R3C	9.61778736114502
0	RBM20	9.070091247558594
0	LMO7	9.028635025024414
0	MURC	9.002142906188965
0	SPHKAP	8.989376068115234
0	ADAMTS6	8.951485633850098
0	PPP1R14C	8.873602867126465
0	TCEA3	8.871188163757324
0	KCNJ2	8.867447853088379
0	ANKRD1	8.841044425964355
0	ESM1	8.834369659423828
0	RP11-432J24.5	8.728910446166992
0	RNF207	8.727925300598145
0	GPR22	8.591561317443848
0	ARHGAP29	8.488933563232422
0	IRX4	8.453984260559082
0	SLC38A1	8.359905242919922
0	HSPB2	8.29928207397461
0	SBSPON	8.290796279907227
0	BBS9	8.230685234069824
0	DUSP5	8.211791038513184
0	PLCL1	8.192605972290039
0	CD36	8.15292739868164
0	SLC16A3	8.13232135772705
0	DSP	8.043069839477539
0	SLC1A3	8.019787788391113
0	GADD45A	7.961586952209473
0	CRIP1	7.9563775062561035
0	HAND1	7.888482093811035
0	LRRC39	7.869846820831299
0	RP11-19O2.1	7.75958776473999
0	NPC2	7.739928722381592
0	FGF7	7.724208354949951
0	XPO4	7.697092056274414
0	DMKN	7.656715393066406
0	CTSG	7.651641845703125
0	XIRP1	7.596900939941406
0	LINC00881	7.571605205535889
0	C3AR1	7.52667236328125
0	SGCA	7.485609531402588
0	RBM24	7.440702438354492
0	TFRC	7.324767112731934
0	NMRK2	7.31450891494751
0	VEGFA	7.301031112670898
0	IRX3	7.102980136871338
0	DHRS3	7.0840678215026855
0	RBFOX1	7.022677421569824
0	STARD4-AS1	6.898155212402344
0	KRT18	6.897453784942627
0	MITF	6.837932586669922
0	NPNT	6.785043716430664
0	AKAP6	6.60317850112915
0	CCDC141	6.596127033233643
0	FABP5	6.552288055419922
0	NRAP	6.4929280281066895
0	BLVRB	6.442022800445557
0	S100A12	6.409703731536865
0	FPGT-TNNI3K	6.362882614135742
0	AC018647.3	6.346540451049805
0	SNTA1	6.3424482345581055
0	BLNK	6.190263748168945
0	FSD2	6.106288433074951
0	SLC6A8	5.985605239868164
0	FOXD3	5.924116134643555
0	SOD2	5.912848472595215
0	F3	5.87000036239624
0	TNNI3K	5.825743198394775
0	ROR1	5.797754764556885
0	PRDM16	5.7773518562316895
0	MTSS1	5.7657012939453125
0	CADM1	5.675471782684326
0	SCUBE3	5.626583099365234
0	HRH2	5.553652763366699
0	MICAL3	5.526276111602783
0	MGST2	5.5138020515441895
0	RAB3IP	5.477696418762207
0	CAP2	5.473701477050781
0	MT3	5.469397068023682
0	LINC00982	5.352662563323975
0	MIR133A1HG	5.296855449676514
0	NKX2-5	5.274624347686768
0	CD200R1	5.268716335296631
0	FHOD3	5.267775058746338
0	KCNK6	5.186611175537109
0	MLIP	5.097438812255859
0	ANXA3	4.938603401184082
0	SERPINA1	4.87619686126709
0	LINC01405	4.854905605316162
0	NAMPT	4.8489861488342285
0	FBXO40	4.809933662414551
0	TSPAN2	4.79465389251709
0	NUAK1	4.767348289489746
0	AFAP1L1	4.751132488250732
0	PPARGC1A	4.69617223739624
0	TNFAIP8	4.624162673950195
0	NRP1	4.554510593414307
0	FAM84B	4.489854335784912
0	FOXD3-AS1	4.465708255767822
0	PTGES3L	4.437537670135498
0	TMEM71	4.408872127532959
0	KIF1A	4.362682342529297
0	APOA1	4.340728282928467
0	ANKRD29	4.324957370758057
0	PRSS45	4.297337055206299
0	SGIP1	4.290132999420166
0	APCDD1	4.275280475616455
0	L1CAM	4.263655662536621
0	SEPP1	4.261713981628418
0	RNASE2	4.2607903480529785
0	HRAT17	4.243475914001465
0	GUCY1A3	4.239726543426514
0	TGM2	4.213183403015137
0	CDC42EP3	4.211538791656494
0	CXADR	4.16132926940918
0	WNK2	4.156041622161865
0	OBSCN	4.116685390472412
0	S1PR1	4.087948799133301
0	DDIT4	4.083621978759766
0	TOX	4.082756996154785
0	MGAT4C	4.03287410736084
0	CORO6	4.02561092376709
0	ITGB1BP2	4.016378402709961
